iter	Passed	Remaining
574	1461	1080
575	1463	1077
576	1465	1074
577	1467	1071
578	1469	1068
579	1472	1066
580	1474	1063
581	1476	1060
582	1478	1057
583	1480	1054
584	1482	1051
585	1485	1049
586	1487	1046
587	1489	1043
588	1491	1040
589	1493	1037
590	1495	1035
591	1498	1032
592	1500	1030
593	1503	1027
594	1504	1024
595	1506	1021
596	1508	1018
597	1511	1015
598	1513	1013
599	1516	1010
600	1517	1007
601	1519	1004
602	1521	1001
603	1523	998
604	1525	996
605	1527	993
606	1529	990
607	1531	987
608	1533	984
609	1535	981
610	1538	979
611	1540	976
612	1543	974
613	1546	971
614	1547	969
615	1549	966
616	1551	963
617	1553	960
618	1555	957
619	1558	955
620	1560	952
621	1562	949
622	1564	946
623	1567	944
624	1568	941
625	1571	938
626	1573	936
627	1575	933
628	1577	930
629	1579	927
630	1582	925
631	1583	922
632	1586	919
633	1588	916
634	1590	914
635	1594	912
636	1596	909
637	1599	907
638	1602	905
639	1604	902
640	1606	899
641	1607	896
642	1609	893
643	1611	891
644	1614	888
645	1616	885
646	1618	883
647	1621	880
648	1622	877
649	1624	874
650	1626	872
651	1629	869
652	1632	867
653	1635	865
654	1637	862
655	1639	859
656	1641	856
657	1643	854
658	1646	851
659	1648	849
660	1650	846
661	1652	843
662	1654	841
663	1657	838
664	1662	837
665	1664	834
666	1667	832
667	1668	829
668	1671	827
669	1674	824
670	1676	821
671	1678	819
672	1680	816
673	1681	813
674	1684	811
675	1686	808
676	1688	805
677	1690	802
678	1692	799
679	1693	797
680	1695	794
681	1698	792
682	1701	789
683	1703	786
684	1705	784
685	1706	781
686	1708	778
687	1709	775
688	1714	773
689	1716	771
690	1718	768
691	1721	766
692	1723	763
693	1726	761
694	1728	758
695	1730	755
696	1732	752
697	1733	750
698	1736	747
699	1739	745
700	1741	742
701	1743	740
702	1745	737
703	1746	734
704	1748	731
705	1751	729
706	1752	726
707	1755	723
708	1757	721
709	1759	718
710	1761	715
711	1763	713
712	1766	710
713	1768	708
714	1770	705
715	1772	703
716	1774	700
717	1776	697
718	1778	695
719	1780	692
720	1782	689
721	1785	687
722	1787	684
723	1789	682
724	1790	679
725	1793	677
726	1796	674
727	1800	672
728	1802	670
729	1804	667
730	1807	665
731	1809	662
732	1811	659
733	1813	657
734	1815	654
735	1817	652
736	1820	649
737	1822	646
738	1824	644
739	1826	641
740	1828	639
741	1830	636
742	1832	633
743	1834	631
744	1836	628
745	1838	625
746	1840	623
747	1842	620
748	1847	619
749	1850	616
750	1852	614
751	1854	611
752	1856	609
753	1859	606
754	1861	603
755	1863	601
756	1864	598
757	1866	595
758	1869	593
759	1872	591
760	1874	588
761	1876	586
762	1878	583
763	1880	580
764	1882	578
765	1884	575
766	1887	573
767	1889	570
768	1891	568
769	1893	565
770	1895	563
771	1900	561
772	1902	558
773	1904	556
774	1906	553
775	1908	550
776	1910	548
777	1914	546
778	1916	543
779	1919	541
780	1921	538
781	1923	536
782	1927	534
783	1929	531
784	1931	529
785	1933	526
786	1935	523
787	1937	521
788	1940	518
789	1942	516
790	1944	513
791	1946	511
792	1948	508
793	1950	505
794	1952	503
795	1954	501
796	1956	498
797	1958	495
798	1960	493
799	1962	490
800	1964	487
801	1966	485
802	1969	483
803	1971	480
804	1973	477
805	1975	475
806	1977	472
807	1980	470
808	1982	468
809	1985	465
810	1987	463
811	1989	460
812	1991	457
813	1993	455
814	1996	453
815	1998	450
816	2000	448
817	2002	445
818	2004	442
819	2006	440
820	2008	437
821	2011	435
822	2013	433
823	2015	430
824	2017	427
825	2019	425
826	2021	422
827	2023	420
828	2026	417
829	2028	415
830	2029	412
831	2031	410
832	2034	407
833	2037	405
834	2039	403
835	2042	400
836	2043	398
837	2046	395
838	2048	393
839	2050	390
840	2052	388
841	2054	385
842	2056	383
843	2058	380
844	2060	377
845	2062	375
846	2064	372
847	2066	370
848	2068	367
849	2070	365
850	2073	363
851	2075	360
852	2078	358
853	2080	355
854	2082	353
855	2084	350
856	2086	348
857	2088	345
858	2090	343
859	2092	340
860	2094	338
861	2096	335
862	2098	333
863	2100	330
864	2102	328
865	2104	325
866	2106	323
867	2108	320
868	2110	318
869	2112	315
870	2114	313
871	2116	310
872	2118	308
873	2120	305
874	2122	303
875	2123	300
876	2126	298
877	2129	295
878	2131	293
879	2133	290
880	2135	288
881	2137	285
882	2141	283
883	2143	281
884	2145	278
885	2147	276
886	2149	273
887	2151	271
888	2156	269
889	2159	266
890	2161	264
891	2163	261
892	2166	259
893	2169	257
894	2171	254
895	2173	252
896	2175	249
897	2177	247
898	2180	244
899	2182	242
900	2185	240
901	2187	237
902	2189	235
903	2191	232
904	2194	230
905	2196	227
906	2198	225
907	2200	222
908	2202	220
909	2204	217
910	2206	215
911	2208	213
912	2210	210
913	2212	208
914	2214	205
915	2216	203
916	2217	200
917	2220	198
918	2222	195
919	2224	193
920	2226	191
921	2228	188
922	2230	186
923	2232	183
924	2234	181
925	2236	178
926	2239	176
927	2241	173
928	2243	171
929	2245	168
930	2247	166
931	2249	164
932	2250	161
933	2252	159
934	2254	156
935	2256	154
936	2257	151
937	2259	149
938	2261	146
939	2262	144
940	2264	141
941	2266	139
942	2267	137
943	2269	134
944	2271	132
945	2275	129
946	2277	127
947	2278	124
948	2280	122
949	2285	120
950	2287	117
951	2289	115
952	2291	113
953	2293	110
954	2295	108
955	2297	105
956	2300	103
957	2302	100
958	2304	98
959	2306	96
960	2308	93
961	2310	91
962	2314	88
963	2315	86
964	2317	84
965	2320	81
966	2321	79
967	2323	76
968	2329	74
969	2330	72
970	2332	69
971	2334	67
972	2336	64
973	2339	62
974	2342	60
975	2344	57
976	2345	55
977	2347	52
978	2349	50
979	2351	47
980	2355	45
981	2358	43
982	2360	40
983	2362	38
984	2364	36
985	2367	33
986	2369	31
987	2371	28
988	2373	26
989	2375	23
990	2377	21
991	2379	19
992	2381	16
993	2384	14
994	2386	11
995	2388	9
996	2390	7
997	2392	4
998	2394	2
999	2396	0
